post_id,post_url,id,author,jobTitle,content,created_date,Joined,Messages,Likes Received,Reading List
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7047360,Zeusomega,M.D of Olympus Pvt Ltd. Seeking [Boltzmann brain],BigBadBoi said: 				 					↑  Make a roblox account without my parent's permissonClick to expand...,"Jul 26, 2022 at 7:41 AM","Apr 17, 2018","2,408","2,651",Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7047440,IceLight303,Well-Known Member,"Zeusomega said: 				 					↑  Release a much more resilient SARS covid strain...  And a smallpox on the side as well.   Then start killing every doctors, destroy hospitals and any medical supplies. Making sure to keep an eye on vaccine research and destroy all the R&D centers.        All for the world peace.Click to expand...  So your going to play plague inc but in real life? Seems like a lot to do in 1 night.     Esha07 said: 				 					↑  I won't get arrested right? Click to expand...  Of course not...     BigBadBoi said: 				 					↑  Make a roblox account without my parent's permissonClick to expand...   That's intense","Jul 26, 2022 at 8:12 AM","Feb 26, 2018","1,539","1,643",Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7047849,IamJustthisweirdreader,[hope you drop your phone in the toilet],I would burn my school and everyone's marksheet ^^     BigBadBoi said: 				 					↑  Make a roblox account without my parent's permissonClick to expand...  Now that's an evil masterplan,"Jul 26, 2022 at 12:49 PM","Jun 20, 2021",352,875,Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7048238,LazyWalnut,Well-Known Member,Rob banks and steal books,"Jul 26, 2022 at 4:38 PM","Apr 23, 2021",363,253,Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7048806,IceLight303,Well-Known Member,"IamJustthisweirdreader said: 				 					↑  I would burn my school and everyone's marksheet ^^   Now that's an evil masterplanClick to expand...  This makes me smile more then it should...     LazyWalnut said: 				 					↑  Rob banks and steal booksClick to expand...  That's all you need in life, especially the books.","Jul 27, 2022 at 6:30 AM","Feb 26, 2018","1,539","1,643",Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7048809,Avgust,"—If you need me, I'm here—",I'd hide. Being able to kill others means they could kill me too. I'm not confident enough to not die.,"Jul 27, 2022 at 6:34 AM","May 29, 2022",658,"3,462",Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7058230,shoyomu,Member,"IceLight303 said: 				 					↑  Just watched the purge. I have to interest in murdering or assaulting anyone. I would be interested in stealing a new A/C unit, some solar panels and getting rid of my debt.  Others said art supplies and game stuff. What crimes would you commit? Or would you stay inside?Click to expand...  sleep","Aug 4, 2022 at 2:19 AM","Jul 31, 2022",7,6,Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7058237,sakyuya,【Villain】【The Hermit】【23:11】,"Protect the bigshot and make connections with them.  Then, they will provide my slacker life for a lifetime!","Aug 4, 2022 at 2:27 AM","Jan 31, 2017",582,435,Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7058246,Lemonlyn,♥[ Incubus ] Onee-san Seducer♥,I would go and put on a cute maid dress to have fun. go out and ransack the nearest weapons store /storage and swing around a katana,"Aug 4, 2022 at 2:44 AM","May 8, 2022",285,674,Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7059118,Mnotia,The Trash Man,Heres the thing; why murder someone.  you coudl literally just put yourself on the best insurance plan and make it so you dont have to pay or just straight up rob a bank.  Literally set yourself up so that your still good after the purge happens.,"Aug 4, 2022 at 2:14 PM","Apr 12, 2017","1,626","1,268",Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7059153,asriu,fu~ fu~ fu~,nothing~ just chilling~ most people will do that cuz why bother with killing and stuff if it only how long again? 12 to 24 hours? make it a week then yeah that chaos will be something~ tbh quite stupid idea,"Aug 4, 2022 at 2:53 PM","Jan 9, 2016","17,956","17,511",Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7059311,IceLight303,Well-Known Member,"shoyomu said: 				 					↑  sleepClick to expand...  Solid plan     Avgust said: 				 					↑  I'd hide. Being able to kill others means they could kill me too. I'm not confident enough to not die.Click to expand...  This is true. Where would you hide?     sakyuya said: 				 					↑  Protect the bigshot and make connections with them. Then, they will provide my slacker life for a lifetime!Click to expand...  How would you meet the big shots? Just hang around their house waiting for them to be attacked? Might be faster to higher someone to pretend to attack them then save them. Unless they already have security teams...      Lemonlyn said: 				 					↑  I would go and put on a cute maid dress to have fun. go out and ransack the nearest weapons store /storage and swing around a katanaClick to expand...  You even have your outfit picked out. I'm impressed.     Mnotia said: 				 					↑  Heres the thing; why murder someone.  you coudl literally just put yourself on the best insurance plan and make it so you dont have to pay or just straight up rob a bank.  Literally set yourself up so that your still good after the purge happens.Click to expand...  That's what I said. Murdering someone is a waste of time. There are so many useful things you could do with that night.      asriu said: 				 					↑  nothing~ just chilling~ most people will do that cuz why bother with killing and stuff if it only how long again? 12 to 24 hours? make it a week then yeah that chaos will be something~ tbh quite stupid ideaClick to expand...  While watching I thought it was stupid. The time aside I didn't think most people would commit murder. With societal pressure most people wouldn't want to commit any of the big crimes. I feel like people would steal a lot and fights would break out. Kinda like what happened with toilet paper for a while. Though your right most people wouldn't do anything as it's only 12 hours and people have to work before and after it.","Aug 4, 2022 at 3:46 PM","Feb 26, 2018","1,539","1,643",Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7059335,yun yun yun,(◍•ᴗ•◍) [Important things must be said 3 times],Sleep and forget about homework... What else you do at night ah ?,"Aug 4, 2022 at 3:55 PM","Jan 14, 2018",287,"5,419",Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7059337,asriu,fu~ fu~ fu~,"IceLight303 said: 				 					↑  Solid plan    This is true. Where would you hide?    How would you meet the big shots? Just hang around their house waiting for them to be attacked? Might be faster to higher someone to pretend to attack them then save them. Unless they already have security teams...    You even have your outfit picked out. I'm impressed.   That's what I said. Murdering someone is a waste of time. There are so many useful things you could do with that night.    While watching I thought it was stupid. The time aside I didn't think most people would commit murder. With societal pressure most people wouldn't want to commit any of the big crimes. I feel like people would steal a lot and fights would break out. Kinda like what happened with toilet paper for a while. Though your right most people wouldn't do anything as it's only 12 hours and people have to work before and after it.Click to expand...  tbh the idea may come from news or story where social order collapse but kinda watering down the cause while exaggerate the effect~ the purge zero kinda try to hmm remedy it? there it show people truly just chilling around then ""the villains"" pop up idea just KILL so other also kill~  despite the flaw it okish series.... just like typical dystopia movie~ it dystopia isn't it? or thing like that~","Aug 4, 2022 at 3:55 PM","Jan 9, 2016","17,956","17,511",Link
post-7047360,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047360,7059839,IceLight303,Well-Known Member,"yun yun yun said: 				 					↑  Sleep and forget about homework... What else you do at night ah ?Click to expand...  That depends on when the homework is due and what teacher it's for. I've had a lot of teachers who will randomly call on students to answer questions from the homework. It might be in my best interest to do the homework.     asriu said: 				 					↑  tbh the idea may come from news or story where social order collapse but kinda watering down the cause while exaggerate the effect~ the purge zero kinda try to hmm remedy it? there it show people truly just chilling around then ""the villains"" pop up idea just KILL so other also kill~ despite the flaw it okish series.... just like typical dystopia movie~ it dystopia isn't it? or thing like that~Click to expand...  Yeah","Aug 5, 2022 at 2:12 AM","Feb 26, 2018","1,539","1,643",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7047281,IceLight303,Well-Known Member,"Just watched the purge. I have to interest in murdering or assaulting anyone. I would be interested in stealing a new A/C unit, some solar panels and getting rid of my debt.   Others said art supplies and game stuff.  What crimes would you commit? Or would you stay inside?","Jul 26, 2022 at 7:13 AM","Feb 26, 2018","1,539","1,643",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7047290,Esha07,[ GREEN TEA MAKER ],I won't get arrested right?,"Jul 26, 2022 at 7:22 AM","May 3, 2022",966,"3,573",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7047306,Zeusomega,M.D of Olympus Pvt Ltd. Seeking [Boltzmann brain],"Release a much more resilient SARS covid strain...  And a smallpox on the side as well.    Then start killing every doctors, destroy hospitals and any medical supplies. Making sure to keep an eye on vaccine research and destroy all the R&D centers.         All for the world peace.","Jul 26, 2022 at 7:29 AM","Apr 17, 2018","2,408","2,651",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7047307,BigBadBoi,Well-Known Member,Make a roblox account without my parent's permisson,"Jul 26, 2022 at 7:29 AM","Apr 11, 2018","2,004","3,317",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7047324,Frozen ink,Legally had harem『Cathulu』Power of Love & Evil』,die,"Jul 26, 2022 at 7:31 AM","Jan 24, 2016","4,776","14,461",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7047360,Zeusomega,M.D of Olympus Pvt Ltd. Seeking [Boltzmann brain],BigBadBoi said: 				 					↑  Make a roblox account without my parent's permissonClick to expand...,"Jul 26, 2022 at 7:41 AM","Apr 17, 2018","2,408","2,651",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7047440,IceLight303,Well-Known Member,"Zeusomega said: 				 					↑  Release a much more resilient SARS covid strain...  And a smallpox on the side as well.   Then start killing every doctors, destroy hospitals and any medical supplies. Making sure to keep an eye on vaccine research and destroy all the R&D centers.        All for the world peace.Click to expand...  So your going to play plague inc but in real life? Seems like a lot to do in 1 night.     Esha07 said: 				 					↑  I won't get arrested right? Click to expand...  Of course not...     BigBadBoi said: 				 					↑  Make a roblox account without my parent's permissonClick to expand...   That's intense","Jul 26, 2022 at 8:12 AM","Feb 26, 2018","1,539","1,643",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7047849,IamJustthisweirdreader,[hope you drop your phone in the toilet],I would burn my school and everyone's marksheet ^^     BigBadBoi said: 				 					↑  Make a roblox account without my parent's permissonClick to expand...  Now that's an evil masterplan,"Jul 26, 2022 at 12:49 PM","Jun 20, 2021",352,875,Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7048238,LazyWalnut,Well-Known Member,Rob banks and steal books,"Jul 26, 2022 at 4:38 PM","Apr 23, 2021",363,253,Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7048806,IceLight303,Well-Known Member,"IamJustthisweirdreader said: 				 					↑  I would burn my school and everyone's marksheet ^^   Now that's an evil masterplanClick to expand...  This makes me smile more then it should...     LazyWalnut said: 				 					↑  Rob banks and steal booksClick to expand...  That's all you need in life, especially the books.","Jul 27, 2022 at 6:30 AM","Feb 26, 2018","1,539","1,643",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7048809,Avgust,"—If you need me, I'm here—",I'd hide. Being able to kill others means they could kill me too. I'm not confident enough to not die.,"Jul 27, 2022 at 6:34 AM","May 29, 2022",658,"3,462",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7058230,shoyomu,Member,"IceLight303 said: 				 					↑  Just watched the purge. I have to interest in murdering or assaulting anyone. I would be interested in stealing a new A/C unit, some solar panels and getting rid of my debt.  Others said art supplies and game stuff. What crimes would you commit? Or would you stay inside?Click to expand...  sleep","Aug 4, 2022 at 2:19 AM","Jul 31, 2022",7,6,Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7058237,sakyuya,【Villain】【The Hermit】【23:11】,"Protect the bigshot and make connections with them.  Then, they will provide my slacker life for a lifetime!","Aug 4, 2022 at 2:27 AM","Jan 31, 2017",582,435,Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7058246,Lemonlyn,♥[ Incubus ] Onee-san Seducer♥,I would go and put on a cute maid dress to have fun. go out and ransack the nearest weapons store /storage and swing around a katana,"Aug 4, 2022 at 2:44 AM","May 8, 2022",285,674,Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7059118,Mnotia,The Trash Man,Heres the thing; why murder someone.  you coudl literally just put yourself on the best insurance plan and make it so you dont have to pay or just straight up rob a bank.  Literally set yourself up so that your still good after the purge happens.,"Aug 4, 2022 at 2:14 PM","Apr 12, 2017","1,626","1,268",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7059153,asriu,fu~ fu~ fu~,nothing~ just chilling~ most people will do that cuz why bother with killing and stuff if it only how long again? 12 to 24 hours? make it a week then yeah that chaos will be something~ tbh quite stupid idea,"Aug 4, 2022 at 2:53 PM","Jan 9, 2016","17,956","17,511",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7059311,IceLight303,Well-Known Member,"shoyomu said: 				 					↑  sleepClick to expand...  Solid plan     Avgust said: 				 					↑  I'd hide. Being able to kill others means they could kill me too. I'm not confident enough to not die.Click to expand...  This is true. Where would you hide?     sakyuya said: 				 					↑  Protect the bigshot and make connections with them. Then, they will provide my slacker life for a lifetime!Click to expand...  How would you meet the big shots? Just hang around their house waiting for them to be attacked? Might be faster to higher someone to pretend to attack them then save them. Unless they already have security teams...      Lemonlyn said: 				 					↑  I would go and put on a cute maid dress to have fun. go out and ransack the nearest weapons store /storage and swing around a katanaClick to expand...  You even have your outfit picked out. I'm impressed.     Mnotia said: 				 					↑  Heres the thing; why murder someone.  you coudl literally just put yourself on the best insurance plan and make it so you dont have to pay or just straight up rob a bank.  Literally set yourself up so that your still good after the purge happens.Click to expand...  That's what I said. Murdering someone is a waste of time. There are so many useful things you could do with that night.      asriu said: 				 					↑  nothing~ just chilling~ most people will do that cuz why bother with killing and stuff if it only how long again? 12 to 24 hours? make it a week then yeah that chaos will be something~ tbh quite stupid ideaClick to expand...  While watching I thought it was stupid. The time aside I didn't think most people would commit murder. With societal pressure most people wouldn't want to commit any of the big crimes. I feel like people would steal a lot and fights would break out. Kinda like what happened with toilet paper for a while. Though your right most people wouldn't do anything as it's only 12 hours and people have to work before and after it.","Aug 4, 2022 at 3:46 PM","Feb 26, 2018","1,539","1,643",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7059335,yun yun yun,(◍•ᴗ•◍) [Important things must be said 3 times],Sleep and forget about homework... What else you do at night ah ?,"Aug 4, 2022 at 3:55 PM","Jan 14, 2018",287,"5,419",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7059337,asriu,fu~ fu~ fu~,"IceLight303 said: 				 					↑  Solid plan    This is true. Where would you hide?    How would you meet the big shots? Just hang around their house waiting for them to be attacked? Might be faster to higher someone to pretend to attack them then save them. Unless they already have security teams...    You even have your outfit picked out. I'm impressed.   That's what I said. Murdering someone is a waste of time. There are so many useful things you could do with that night.    While watching I thought it was stupid. The time aside I didn't think most people would commit murder. With societal pressure most people wouldn't want to commit any of the big crimes. I feel like people would steal a lot and fights would break out. Kinda like what happened with toilet paper for a while. Though your right most people wouldn't do anything as it's only 12 hours and people have to work before and after it.Click to expand...  tbh the idea may come from news or story where social order collapse but kinda watering down the cause while exaggerate the effect~ the purge zero kinda try to hmm remedy it? there it show people truly just chilling around then ""the villains"" pop up idea just KILL so other also kill~  despite the flaw it okish series.... just like typical dystopia movie~ it dystopia isn't it? or thing like that~","Aug 4, 2022 at 3:55 PM","Jan 9, 2016","17,956","17,511",Link
post-7047307,https://forum.novelupdates.com/threads/what-would-you-do-during-purge-night.151802/#post-7047307,7059839,IceLight303,Well-Known Member,"yun yun yun said: 				 					↑  Sleep and forget about homework... What else you do at night ah ?Click to expand...  That depends on when the homework is due and what teacher it's for. I've had a lot of teachers who will randomly call on students to answer questions from the homework. It might be in my best interest to do the homework.     asriu said: 				 					↑  tbh the idea may come from news or story where social order collapse but kinda watering down the cause while exaggerate the effect~ the purge zero kinda try to hmm remedy it? there it show people truly just chilling around then ""the villains"" pop up idea just KILL so other also kill~ despite the flaw it okish series.... just like typical dystopia movie~ it dystopia isn't it? or thing like that~Click to expand...  Yeah","Aug 5, 2022 at 2:12 AM","Feb 26, 2018","1,539","1,643",Link
post-6811423,https://forum.novelupdates.com/threads/metaverse.141771/#post-6811423,6811024,Sproutling,We are the Sproutlings,So I got this metaverse thingy on my YouTube home after I searched for VR headset recommendation.  What is this metaverse? Saw a news guy got much money from selling metaverse NFT. What the heck is that?,"Jan 16, 2022 at 2:31 AM","Nov 20, 2015",951,976,Link
post-6811423,https://forum.novelupdates.com/threads/metaverse.141771/#post-6811423,6811030,lnv,✪ Well-Known Hypocrite,Sproutling said: 				 					↑  Saw a news guy got much money from selling metaverse NFT. What the heck is that?Click to expand...  NFT is a scam revolving around trying to put blockchain to art. But it is totally useless. But there are those trying to prop up the scam for quick cash.,"Jan 16, 2022 at 2:44 AM","Jan 24, 2017","7,672","8,969",Link
post-6811423,https://forum.novelupdates.com/threads/metaverse.141771/#post-6811423,6811034,asriu,fu~ fu~ fu~,"dunno about metaverse but the NFT kinda make this cat baffled~ they have too much money for it so maybe the rich just wanna show what they think expensive is really different value to this poor cat~ it feel like new product value based on hmmm hyper assumptions? not first time, maybe if enuf people think it is valuable and persist long enuf it will become really valuable~ like diamonds or crypto currency? the bitcoin stuff, or buying equipment on online game using real money, or burn your money to buy gacha or pay to win or stuff like that~  well this cat have poor imagination cuz well this cat indeed poor cat.... poor me~","Jan 16, 2022 at 2:54 AM","Jan 9, 2016","17,956","17,511",Link
post-6811423,https://forum.novelupdates.com/threads/metaverse.141771/#post-6811423,6811035,Vanidor,Well-Known Member,"Metaverse in the context you searched for was Facebook's VR, they own Oculus and their VR headsets.   Metaverse outside that can mean anything people want it to, it's just a new buzzword for 'futuristic' stuff.","Jan 16, 2022 at 2:55 AM","Nov 5, 2015","1,346","1,533",Link
post-6811423,https://forum.novelupdates.com/threads/metaverse.141771/#post-6811423,6811046,Goblin Sleuth,Well-Known Member,,"Jan 16, 2022 at 3:17 AM","Apr 23, 2016","1,711","2,340",Link
post-6811423,https://forum.novelupdates.com/threads/metaverse.141771/#post-6811423,6811145,Dahna,"(-, – )…zzzZZZ","Metaverse means some ""creative"" people steal your real money from your wallet in a legit way.   This thing involved blockchain and cryptocurrency, so maybe it will become the most massive scam ever.","Jan 16, 2022 at 5:16 AM","Feb 13, 2021",395,307,Link
post-6811423,https://forum.novelupdates.com/threads/metaverse.141771/#post-6811423,6811364,Obserwator,[Gamer of Life] [Naturalist] [Universalist],Please remember when something looks too good to be true and especially if it involves money it's a scam!,"Jan 16, 2022 at 8:31 AM","Jul 19, 2017",445,556,Link
post-6811423,https://forum.novelupdates.com/threads/metaverse.141771/#post-6811423,6811423,Shio,Moderator,"Metaverse simply means AR and VR. The term metaverse become more popular since facebook announced they will focus on their own metaverse. The actual usable metaverse is still far, far away. For most people, metaverse is still limited to roblox or similar game.  As for NTF, as for now it's just a hype. I have no doubt it will go down sooner or later. Considering the actual use of the technology, the system will actually become useful & more common. It's basically a marketplace system after all. Maybe several art will still be sold for high amount of money.  Is it a scam? It is as much scam as the plant or gem stone trend. People are free to make money of it. It's not legally wrong after all. Those who buy ntf right now are also after more stuff than the actuall picture on sale anyway (clout, special access to party/community).","Jan 16, 2022 at 10:03 AM","Oct 21, 2015","6,021","12,247",Link
